Name;Year;ConflictSide;AllStrength;AllLosses;Ratio
Part of Polish-Teutonic War (1326–1332);1331;0;5000;1700;0.3400000000000000000
Battle of Seneffe;1674;0;44200;15000;0.3393665158371040723
Battle of Torgau;1760;0;50000;16670;0.3334000000000000000
Battle of Varna;1444;1;60000;20000;0.3333333333333333333
Battle of Tewkesbury;1471;1;6000;2000;0.3333333333333333333
Battle of Zenta
(Battle of Senta);1697;1;90000;30000;0.3333333333333333333
Sieges of Toishi;1550;1;3000;1000;0.3333333333333333333
Battle of Punta Quemada;1525;1;300;100;0.3333333333333333333
Battle of Leuthen;1757;1;66000;22000;0.3333333333333333333
Battle of Brunkeberg;1471;1;6000;2000;0.3333333333333333333
Battle of Hemmingstedt;1500;1;12000;4000;0.3333333333333333333
Battle of Vincennes;1779;0;290;95;0.3275862068965517241
Battle of Bassano;1796;1;11000;3600;0.3272727272727272727
Battle of Koronowo;1410;1;4000;1300;0.3250000000000000000
Battle of Vienna;1683;1;200000;65000;0.3250000000000000000
Battle of Marston Moor;1644;1;17000;5500;0.3235294117647058823
Battle of Formigny;1450;1;3100;1000;0.3225806451612903225
Battle of Khotyn;1621;0;45000;14500;0.3222222222222222222
Battle of Gadebusch;1712;1;19500;6250;0.3205128205128205128
Battle of Arbedo;1422;1;2500;800;0.3200000000000000000
Battle of Novi (1799);1799;1;36091;11500;0.3186389958715469230
Battle of Rathmines;1649;0;11000;3500;0.3181818181818181818
Battle of Ramillies;1706;1;60000;19000;0.3166666666666666666
Battle of Khotyn;1621;1;133000;42000;0.3157894736842105263
Battle of Ballyellis;1798;1;200;62;0.3100000000000000000
Battle of Byczyna (Pitschen);1588;1;6500;2000;0.3076923076923076923
Battle of Princeton;1777;1;1200;364;0.3033333333333333333
Third Battle of Panipat;1761;0;99000;30000;0.3030303030303030303
Siege of Uehara;1541;0;1000;300;0.3000000000000000000
Combat of the Thirty;1351;1;30;9;0.3000000000000000000
Fourth Battle of Tucson;1784;0;20;6;0.3000000000000000000
Battle of Ridaniya;1517;0;20000;6000;0.3000000000000000000
Battle of Punta Quemada;1525;0;70;21;0.3000000000000000000
Battle of Oosterweel;1567;0;2500;750;0.3000000000000000000
Battle of Kesselsdorf;1745;1;35000;10500;0.3000000000000000000
Battle of Las Salinas;1538;1;500;150;0.3000000000000000000
Battle of Bryn Glas;1402;1;2000;600;0.3000000000000000000
Battle of Guararapes;1649;0;3500;1045;0.2985714285714285714
Battle of Kay;1759;0;28000;8300;0.2964285714285714285
Battle of Kay;1759;1;28000;8300;0.2964285714285714285
Battle of Coutras;1587;1;6800;2000;0.2941176470588235294
Battle of Sarhu;1619;1;160000;47000;0.2937500000000000000
Battle of Sainte-Foy;1760;1;3800;1088;0.2863157894736842105
Battle of Hochkirch;1758;0;33000;9400;0.2848484848484848484
Battle of La Prairie;1691;1;240;68;0.2833333333333333333
Siege of Rhodes;1480;0;85000;24000;0.2823529411764705882
Siege of Shkodra;1474;0;50000;14000;0.2800000000000000000
Battle of Prague;1757;1;60000;16500;0.2750000000000000000
Battle of Montebello;1800;0;11000;3000;0.2727272727272727272
Battle of the Slaak;1631;0;5500;1500;0.2727272727272727272
Battle of Fort Niagara;1759;0;1786;486;0.2721164613661814109
Battle of Culloden;1746;1;7000;1904;0.2720000000000000000
Battle of Gemauerthof;1705;0;7000;1900;0.2714285714285714285
Battle of Friedlingen;1702;1;14000;3742;0.2672857142857142857
Battle of Bannockburn;1314;0;7500;2000;0.2666666666666666666
Battle of Racławice;1794;1;3000;800;0.2666666666666666666
Battle of Lake Pontchartrain;1779;1;15;4;0.2666666666666666666
Fourth Battle of Kawanakajima;1561;0;15000;4000;0.2666666666666666666
Safavid Ghilzai War;1729;1;45000;12000;0.2666666666666666666
Battle of White Mountain;1620;0;15000;4000;0.2666666666666666666
Battle of Chotusitz;1742;1;28000;7455;0.2662500000000000000
Battle of Lützen;1632;0;19000;5000;0.2631578947368421052
Battle of Mohács;1526;1;65000;17000;0.2615384615384615384
Battle of Buxar;1764;1;7072;1847;0.2611708144796380090
Battle of Richmond Hill;1795;1;50;13;0.2600000000000000000
Battle of Rocroi;1643;1;27000;7000;0.2592592592592592592
Battle of Arcole;1796;1;24000;6200;0.2583333333333333333
Battle of Eutaw Springs;1781;0;2200;561;0.2550000000000000000
Battle of Guilford Court House;1781;1;2100;532;0.2533333333333333333
Battle of Friedlingen;1702;0;17000;4304;0.2531764705882352941
Battle of Chotusitz;1742;0;30000;7552;0.2517333333333333333
Battle of Grocka;1739;1;40000;10000;0.2500000000000000000
Battle of Auray;1364;0;4000;1000;0.2500000000000000000
Battle of Auray;1364;1;4000;1000;0.2500000000000000000
Battle of Kilcullen;1798;0;600;150;0.2500000000000000000
Battle of Keresztes;1596;0;100000;25000;0.2500000000000000000
Battle of Sekigahara;1600;0;100000;25000;0.2500000000000000000
Battle of St. Louis;1780;0;300;75;0.2500000000000000000
Battle of Tuberneering;1798;1;400;100;0.2500000000000000000
Fourth Battle of Kawanakajima;1561;1;12000;3000;0.2500000000000000000
Siege of Malmö;1677;1;14000;3500;0.2500000000000000000
Battle of Malplaquet;1709;0;86000;21000;0.2441860465116279069
Battle of Lesnaya;1708;1;31000;7500;0.2419354838709677419
Battle of Blenheim;1704;0;52000;12484;0.2400769230769230769
Battle of Arcole;1796;0;20000;4800;0.2400000000000000000
Battle of Jüterbog;1644;1;15000;3600;0.2400000000000000000
Battle of New Ross (1798);1798;0;10000;2400;0.2400000000000000000
Battle of Mollwitz;1741;1;19000;4550;0.2394736842105263157
Siege of Turin;1706;1;41000;9800;0.2390243902439024390
La Noche Triste ("The Night of Sorrows");1520;0;21000;5000;0.2380952380952380952
Battle of Rossbach;1757;1;42000;10000;0.2380952380952380952
Battle of Montebello;1800;1;18000;4275;0.2375000000000000000
Battle of Montenotte;1796;1;6750;1598;0.2367407407407407407
Battle of Machias;1775;1;55;13;0.2363636363636363636
Battle of Marengo;1800;0;24000;5600;0.2333333333333333333
Battle of Yamazaki;1582;0;13000;3000;0.2307692307692307692
Battle on the Zuiderzee;1573;1;1300;300;0.2307692307692307692
Battle of Crooked Billet;1778;0;400;92;0.2300000000000000000
Battle of Schellenberg;1704;0;22000;5041;0.2291363636363636363
Battle of Kallo;1638;0;22000;5000;0.2272727272727272727
Battle of Bloody Creek;1757;1;53;12;0.2264150943396226415
Battle of the Yellow Ford;1598;1;4000;900;0.2250000000000000000
Battle of Hohenlinden;1800;1;60260;13550;0.2248589445735147693
Battle of Mollwitz;1741;0;21600;4850;0.2245370370370370370
Battle of Deutschbrod;1422;1;2250;500;0.2222222222222222222
Battle of Breadfield;1479;0;13500;3000;0.2222222222222222222
Battle of Hohenfriedberg;1745;1;62500;13730;0.2196800000000000000
Battle of Torgau;1760;1;53400;11697;0.2190449438202247191
Battle of Lens;1648;0;16000;3500;0.2187500000000000000
Battle of Helsingborg;1710;0;13900;2995;0.2154676258992805755
Battle of Lodi;1796;1;9500;2036;0.2143157894736842105
Battle of Breslau;1757;0;28000;6000;0.2142857142857142857
Battle of Shrewsbury;1403;0;14000;3000;0.2142857142857142857
Battle of Prague;1757;0;67000;14300;0.2134328358208955223
Siege of Orléans;1428;1;9400;2000;0.2127659574468085106
Battle of Assietta;1747;0;25000;5300;0.2120000000000000000
Battle of Fontenoy;1745;0;52000;11000;0.2115384615384615384
Battle of the Plains of Abraham;1759;1;3400;716;0.2105882352941176470
Battle of Dreux;1562;0;19000;4000;0.2105263157894736842
Battle of Carillon;1758;0;3600;750;0.2083333333333333333
Battle of Landskrona;1677;1;12000;2500;0.2083333333333333333
Siege of Tenochtitlan;1521;0;100100;20400;0.2037962037962037962
Battle of the Vedrosha River;1500;0;40000;8000;0.2000000000000000000
Siege of Belgrade (Nándorfehérvár);1456;1;65000;13000;0.2000000000000000000
Battle of Zusmarshausen;1648;1;10000;2000;0.2000000000000000000
Combat of the Thirty;1351;0;30;6;0.2000000000000000000
First Battle of Guararapes;1648;0;5000;1000;0.2000000000000000000
