Name;Year;TotalStrength
Battle of La Prairie;1691;990
Battle of Fishing Creek;1780;960
Battle of Trancoso;1385;900
Battle of Reading;1688;850
Battle of Kilcullen;1798;820
Battle of Kringen;1612;800
Battle of the Shirts
(Blàr na Léine, Kinloch-Lochy);1544;800
Battle of Sandwich;1460;800
Battle of The Cedars;1776;750
Second Battle of Tucson;1782;672
Battle of Prosperous;1798;657
Battle of Fort Cumberland;1776;600
Battle of Nesbit Moor;1402;600
Battle of Blue Licks;1782;532
Fourth Battle of Tucson;1784;520
Battle of Lochmaben Fair;1484;500
Battle of Fort Bull;1756;471
Battle of Vincennes;1779;462
Capture of Trincomalee;1782;450
Battle of Tuberneering;1798;400
Battle of Point Pleasant;1774;400
Battle of Arkinholm;1455;400
Battle of Shimbra Kure;1529;400
Battle of Punta Quemada;1525;370
First Battle of Tucson;1779;365
Battle of Longue-Pointe;1775;347
Battle of Bushy Run;1763;300
Capture of Fort Ticonderoga;1775;246
Battle of Burton Bridge;1643;200
Battle of Bloody Creek;1757;183
Battle of Bloody Creek;1711;170
Battle of Richmond Hill;1795;118
Battle of Machias;1775;95
Battle of Jumonville Glen;1754;87
Battle of Lake Pontchartrain;1779;72
Battle of the North Inch;1396;60
Combat of the Thirty;1351;60
Battle of Ballymore-Eustace;1798;45
Siege of Stirling Castle;1304;30
Battle of Gammelsdorf;1313;0
Battle of Manolada;1316;0
Battle of Montecatini;1315;0
Battle of Dysert O'Dea;1318;0
Battle of Chios;1319;0
Battle of Bliska (1322);1322;0
Battle of Ardnocher;1329;0
Siege of Kanegasaki (1337);1337;0
Battle of Arnemuiden;1338;0
Battle of Parabiago;1339;0
Battle of Río Salado;1340;0
Battle of Sluys;1340;0
Ottoman conquest of Adrianople;1361;0
Battle of Helsingborg;1362;0
Battle of North Walsham;1381;0
Battle of La Rochelle;1372;0
War of the Eight Saints;1375;0
Battle on Pyana River;1377;0
Battle of Dubravnica;1380;0
Battle of Les Espagnols sur Mer;1350;0
Battle of Ardres;1351;0
Battle of Brest;1342;0
Battle of Morlaix;1342;0
Battle of Gamenario;1345;0
Battle of Warns;1345;0
Battle of Ros Mhic Thriúin;1394;0
Battle of Rovine;1395;0
Battle of Savra;1385;0
Battle of Tochar Cruacháin Brí Eile;1385;0
Battle of Casalecchio;1402;0
Battle of Pwll Melyn;1405;0
Battle of Tuiteam Tarbhach;1406;0
Battle of Bramham Moor;1408;0
Battle of Sanluri;1409;0
Siege of Rouen;1418;0
Battle of La Rochelle;1419;0
Ottoman siege of Thessalonica;1422;0
Battle of St. James;1426;0
Battle of Beaugency;1429;0
Battle of Gomit;1445;0
Battle of Damghan;1447;0
Battle of Anghiari;1440;0
Siege of Novo Brdo;1440;0
Battle of Kunovica;1444;0
Battle of Inverlochy (1431);1431;0
Battle on the Po;1431;0
Siege of Compiègne;1430;0
Siege of Kamakura;1526;0
Battle of Gavinana;1530;0
Battle of Amba Sel;1531;0
Battle of Yaunis Khan;1516;0
Siege of Edo;1524;0
War of Urbino;1517;0
Battle of Shiojiritoge;1548;0
Battle of Sahart;1541;0
Battle of Jarte;1542;0
Battle of Alltan-Beath;1542;0
Battle of the Hill of the Jews;1542;0
First Battle of Azukizaka;1542;0
Battle of Ludford Bridge;1459;0
Battle of Northampton;1460;0
Battle of Leskovac;1454;0
Battle of Ferrybridge;1461;0
Battle of Mortimer's Cross;1461;0
Battle of Otlukbeli;1473;0
Siege of Neuss;1474;0
Battle of Edgecote Moor;1469;0
Battle of Lipnic;1470;0
Battle of Aldy Charrish;1487;0
