277;Taw yağı;http://en.wikipedia.org/wiki/Taw_ya%C4%9F%C4%B1
278;Khanate of Kazan;http://en.wikipedia.org/wiki/Khanate_of_Kazan
279;Mari people;http://en.wikipedia.org/wiki/Mari_people
280; Hungarian defenders;NULL
281;Takeda forces;NULL
282;Uesugi forces;NULL
283;Emperor;http://en.wikipedia.org/wiki/Emperor
284;Azai clan;http://en.wikipedia.org/wiki/Azai_clan
285;Rokkaku clan;http://en.wikipedia.org/wiki/Rokkaku_clan
286;Oda Nobunaga;http://en.wikipedia.org/wiki/Oda_Nobunaga
287;Clan Fraser;http://en.wikipedia.org/wiki/Clan_Fraser
288;Clan Mackintosh;http://en.wikipedia.org/wiki/Clan_Mackintosh
289;Clan Forbes;http://en.wikipedia.org/wiki/Clan_Forbes
290;Clan Gordon;http://en.wikipedia.org/wiki/Clan_Gordon
291;Clan Brodie;http://en.wikipedia.org/wiki/Clan_Brodie
292;French Catholic Royal Army;NULL
293;Huguenot;http://en.wikipedia.org/wiki/Huguenot
294;Hōjō Ujiyasu;http://en.wikipedia.org/wiki/H%C5%8Dj%C5%8D_Ujiyasu
295;Satomi Yoshihiro;http://en.wikipedia.org/wiki/Satomi_Yoshihiro
296;Ikkō-ikki;http://en.wikipedia.org/wiki/Ikk%C5%8D-ikki
297;Matsudaira clan;http://en.wikipedia.org/wiki/Matsudaira_clan
298;Pure Land Buddhism;http://en.wikipedia.org/wiki/Pure_Land_Buddhism
299;History of Malta under the Order of Saint John;http://en.wikipedia.org/wiki/History_of_Malta_under_the_Order_of_Saint_John
300;Maltese people;http://en.wikipedia.org/wiki/Maltese_people
301;Habsburg Monarchy;http://en.wikipedia.org/wiki/Habsburg_Monarchy
302;Dutch Rebels;NULL
303;Forces loyal to Mary, Queen of Scots;NULL
304;Forces opposed to Mary, Queen of Scots;NULL
305;James Stewart, 1st Earl of Moray;http://en.wikipedia.org/wiki/James_Stewart,_1st_Earl_of_Moray
306;Mary, Queen of Scots;http://en.wikipedia.org/wiki/Mary,_Queen_of_Scots
307;Netherlands;http://en.wikipedia.org/wiki/Netherlands
308;forces of Hojo Ujiyasu;NULL
309;Rokkaku Yoshisuke;http://en.wikipedia.org/wiki/Rokkaku_Yoshisuke
310;Azai Nagamasa;http://en.wikipedia.org/wiki/Azai_Nagamasa
311;Warrior monks of Mt. Hiei;NULL
312;Holy League (1571);http://en.wikipedia.org/wiki/Holy_League_(1571)
313;Ikkō-ikki monks;NULL
314;Crimean Khanate;http://en.wikipedia.org/wiki/Crimean_Khanate
315;Russian Empire;http://en.wikipedia.org/wiki/Russian_Empire
316;Tokugawa Ieyasu;http://en.wikipedia.org/wiki/Tokugawa_Ieyasu
317; Dutch Rebels;NULL
318;Iwamura castle garrison;NULL
319;Asakura Yoshikage;http://en.wikipedia.org/wiki/Asakura_Yoshikage
320;Suganuma Sadamichi;http://en.wikipedia.org/wiki/Suganuma_Sadamichi
321;Dutch Republic;http://en.wikipedia.org/wiki/Dutch_Republic
322;German mercenaries;NULL
323;Itami clan;NULL
324;Takeda Katsuyori;http://en.wikipedia.org/wiki/Takeda_Katsuyori
325;Mōri clan;http://en.wikipedia.org/wiki/M%C5%8Dri_clan
326;Principality of Transylvania (1570–1711);http://en.wikipedia.org/wiki/Principality_of_Transylvania_(1570%E2%80%931711)
327; City of Danzig Polish-Lithuanian Commonwealth;NULL
328;Uesugi Kenshin;http://en.wikipedia.org/wiki/Uesugi_Kenshin
329;Moors;http://en.wikipedia.org/wiki/Moors
330;Saadi dynasty;http://en.wikipedia.org/wiki/Saadi_dynasty
331; States-General;NULL
332;Toyotomi Hideyoshi;http://en.wikipedia.org/wiki/Toyotomi_Hideyoshi
